Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,(주)인터엑스,[서울] ﻿AI 비전·데이터 분석 엔지니어,"서울 금천구
신입·경력
초대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53829375&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)에스디테크,"AI 데이터 분석 및 IT인력, 전략기획(부) 연구사무직 모집","전남 순천시
경력무관
학력무관
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53511861&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)엑심베이,데이터 분석 기반 Risk Management(RM),"서울 구로구
경력무관
초대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53592881&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)빅스터,"빅데이터(통계,공공데이터,AI) 분석가 정규직 채용","서울 구로구
경력 1~10년
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53611634&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)티지360테크놀로지스,데이터 분석 담당자 경력 채용공고,"서울 성동구
경력7년↓
학력무관
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53427178&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)엠트리센,솔루션 검증/운영 데이터 분석 채용,"서울 금천구
경력1년↑
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53687620&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,콘센트릭스서비스코리아(유),분석 및 데이터 사업관련 영업전문가,"서울 용산구
경력10년↑
학력무관
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53737425&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)하이퍼정보,데이터 모델 및 분석 담당자 모집,"서울 강남구
경력 7~15년
학력무관
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53768397&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)메인라인,"데이터 사이언티스트 채용(데이터분석, LLM구축 )","서울 마포구
경력 5~20년
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53771448&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,나이스지니데이타주식회사,[NICE 지니데이타] 데이터 분석/가공 및 프로젝트 수행,"서울 영등포구
경력2년↑
대졸↑
정규직·계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53479702&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)파미컴퍼니,"[삼성케어플러스] 데이터 가공/분석, 대외 협력 업무","서울 구로구
신입·경력
학력무관
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53790852&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)에스투더블유,데이터 분석가 (Data Analyst),"경기 성남시 분당구
경력 1~15년
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53763335&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)네피리티,[(주)네피리티/서울] 데이터 분석 및 AI모델 개발 모집,"서울 서초구
경력무관
대졸↑
정규직·계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53699947&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)화이트스캔,[데이터 분석] 경력직 채용,"서울 용산구
경력무관
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53748887&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)온택트헬스,데이터 분석가 채용,"서울 서대문구
경력3년↑
석사↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53721937&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)인터엑스,[울산] ﻿AI 비전·데이터 분석 엔지니어,"울산 중구
신입·경력
초대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53829547&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
